description,likes,shares,comments,views
"Adventures in the Wild",1800,350,220,15000
"Cooking Masterclass: Italian Cuisine",2100,400,180,18000
"Tech Talk: Future of AI",2400,500,300,22000
"Fitness Journey: 30-Day Challenge",1700,300,200,12000
"DIY Home Decor: Upcycling Ideas",1900,380,250,14000
"Gaming Review: Latest Releases",2600,600,350,25000
"Travel Vlog: Exploring Thailand",2200,420,280,17000
"Photography Tips: Capturing Sunsets",2000,400,230,16000
"Financial Planning: Retirement Strategies",2300,480,270,19000
"Fashion Lookbook: Summer Collection",2800,550,400,28000
"Pet Care: Training Your Dog",1500,300,180,11000
"Art Tutorial: Watercolor Techniques",2100,420,240,17000
"Motivational Speech: Achieving Success",1900,380,220,15000
"Health Tips: Boosting Immunity",2400,500,320,21000
"Music Review: Top Hits of the Year",2700,520,380,24000
"Book Review: Bestsellers of the Month",2000,350,200,13000
"Car Enthusiast: Restoring Classic Cars",2500,480,300,20000
"Fitness Tips: Building Muscle Mass",2200,400,250,16000
"Gameplay Walkthrough: RPG Adventure",3000,650,450,30000
"Home Gardening: Growing Organic Vegetables",1800,350,220,14000
"Science Explained: The Universe in 10 Minutes",2600,550,380,23000
"Yoga Practice: Morning Routine",2000,380,240,15000
"Career Advice: Navigating Corporate Ladder",2300,450,300,18000
"Technology Update: Latest Gadgets",2500,500,320,21000
"Mindfulness Meditation: Stress Relief",2100,400,230,17000
